AnimalID	SampleID	Age	Strain	Organ	Il1b	Tgfb1	Il1a	Il6	Il10	Ccl5	Hmgb1	Tnf	Cxcr3	Th	Dbh	Adrb2	Adrb1	Adra1a	Adra1b	Cacna1d	Gja1	Ace	Agt	Agtr1	Ren	Agtrap
6W-1	6W-AD-1	6	WKY	Adrenal	-4.148033125	0.336020365	-13.7717407	1.486425938	4.900991838	-3.396790908	0.169530975	3.832073215	3.22307397	1.495581682	8.843333988	2.53552988	3.213276173	6.038466433	-3.47450176	-1.394862133	-1.517341095	4.45620826	-6.712266088	-2.292004385	3.85494238	0.728058985
6W-2	6W-AD-2	6	WKY	Adrenal	0.65087124	-0.62132341	1.25773515	-0.257526608	0.177190193	-0.199666683	-0.836151083	0.73516979	-0.129696575	1.278346315	0.822089403	-0.108057215	0.331976738	0.307673818	-0.175890136	0.101099153	0.16596508	1.516295625	-0.599636249	-0.93637431	1.460505595	-1.24069495
6W-3	6W-AD-3	6	WKY	Adrenal	-0.440368565	-0.436656695	0.129842895	-0.013658288	1.633574628	-0.276693648	-0.270215645	0.600755645	-0.08953111	-0.42350312	1.871418658	0.02129008	-0.331976738	-3.050792368	-0.16710372	-0.101099153	0.022181675	0.40817708	0.136618006	-0.413750185	0.47604541	-0.561468495
6S-1	6S-BS-1	6	SHR	Brainstem	0.210075615	-0.16227149	0.16105164	0.254787558	2.319342495	-0.128053995	-0.133233525	2.175979825	0.42563585	2.424992715	4.3632356	1.15685199	0.565146855	2.51841694	0.16094602	0.270845635	-0.02151949	0.777835975	0.115373194	-0.392325576	3.24411561	-0.32663866
6S-2	6S-BS-2	6	SHR	Brainstem	-0.217607395	-0.00288776	0.0300154	0.100882713	2.931869535	-0.063476115	0.054560065	1.510208845	1.08294613	0.802284045	5.01156525	0.7213481	0.792281145	-0.145983077	-0.16094602	-0.175661125	0.02151949	0.796921385	-0.269169866	-0.562935736	1.98575438	0.08498529
6S-3	6S-BS-3	6	SHR	Brainstem	0.063179055	-0.02599246	0.16469084	1.30385664	-0.211743745	-0.450140215	-0.513024824	0.495715585	-0.25117011	-0.253357922	-0.6911128	-0.0632216	-0.178847905	-1.20333597	-0.7075773	-0.409290185	-0.20504251	-0.615942315	-0.602024901	-0.328079609	-1.56596643	-0.08498529
6W-1	6W-BS-1	6	WKY	Brainstem	0.381865265	0.00288776	-0.16469493	-0.01261329	-0.529027985	0.279848035	-0.054560065	-0.495715585	0.00978306	-0.802284045	-0.431915301	-0.76667661	0.178847905	0.28287273	-0.2778862	-0.378702825	-0.31103201	-0.252163525	-0.115373194	0.373409465	-0.18829337	-0.10963167
6W-2	6W-BS-2	6	WKY	Brainstem	-0.063179055	0.3151108	-0.0300154	0	0.211743745	0.236789905	0.560588584	-0.561273635	-0.00978306	-0.239283771	0	0.0632216	-2.321442115	-0.28287273	0.514890674	0.270845635	0.04393196	-0.589743185	0.501277527	0.348863781	-0.37022078	1.06392813
6W-3	6W-BS-3	6	WKY	Brainstem	-0.254187935	0.09079061	-0.52687285	-0.241321203	-0.235582455	0.063476115	0.530194465	-0.803438705	-0.46938446	-1.612835225	-5.71561241	-0.14948549	-0.561406805	-1.162172335	0.439779265	0.175661125	0.21549868	0.252163525	0.480667884	0.328079609	0.18829337	1.17498042
6S-1	6S-K-1	6	SHR	Kidney	-0.370714615	-0.091270845	-0.9423612	0.13233987	-0.053196425	0.245293805	0.021279303	-0.566172895	-0.08945903	2.58563828	-1.25899511	0.056653725	-0.371008295	0.53487912	0.062032425	-3.556202495	0.189051102	-0.230856195	0.72990262	-0.38880583	0.06407114	-0.3628874
