Strain	Organ	Age	Smp-Gene ID	Casp3	Casp8	Egr1	Bcl2	Smad1	Cnbp	Ctsd	Ptgr1	Ephx2	F2r	Itpr1	Slc1a4	Ccl5	Cd86	Fkbp1a	Hspd1	Rela	Myd88	Hmgb1	Sirt1	Bcl6	Ebf1	Il1b	Il10	Ilrn	Ccr5	Tlr4	Uts2	Ccr1	Bmpr2	Tnf	Ctsl	Il6	Cd36	Hsd17b13	Lipg	Psap	Hgd	Ldha	Nts	Rhoa	Rictor	Ak2	Ephb1	Foxo1	Eif4e	Fmo2	Arg2	Nox4	Ltb4r	Esr1	Esr2	Acta2	Rgs1	Arg1	Smad3	Adra1d	Fosl1	Scx	Zbtb16	Tlr3	Apln	Agtrap	Ace	Adrb1	Agt	Agtr1a	Ren	Tgfb1	Renbp	Npr1	Hcrtr1	Gapdh	Actb	Rpl13a	Gja	Cyp19a1	Adra1a	Th	Spp1	Jun	Plgf	Timp3	Cdkn1a	Hif1a	Itga5	E2f1	Ogn	Stat3	Mif	S100a4	Thbs1
WKY	Kidney	10	W.10.F.2.Kd.1	-0.477567678	-1.254736631	-0.258537218	-0.94141656	-0.614697287	0.04848048	-0.175208978	-0.135923758	1.925324514	-1.120002007	-0.294917586	-0.243758588	0.568421964	-0.424962595	0.393204696	0.141283899	-0.062872521	0.006060764	-0.137406871	-0.497614277	-1.996247551	0.247293364	-1.080007003	NA	-0.960061886	-1.067851313	-0.536006986	-1.584992799	-2.029243578	-0.350084605	-1.15557617	0.562939463	-1.544896371	2.33007874	-1.021609346	-0.913337823	0.135646488	0.763566206	-0.085608773	NA	0.347002636	-0.348517627	0.514237389	-0.122992037	0.236365419	0.1268403	-0.062905697	-1.027574251	0.442338752	-2.021231141	0.348069296	1.221995821	-0.16149813	NA	0.22862374	-0.583952621	-0.184378109	-0.592854571	-1.509763607	1.044574413	-0.447932162	0.384175194	-0.019724548	0.029763192	0.115642441	3.458412462	-0.14255496	0.168565367	-0.237433777	0.418887405	-0.263875666	-1.590996667	0.710620445	0.686474406	0.069541649	0.23887168	-1.769397054	0.462434754	NA	-0.856328608	0.221104897	-1.342678416	-0.549469102	0.0247792	-0.126646982	-0.278936162	-0.413832676	-0.137969534	-0.064854531	0.367406949	-0.695429215	0.074618962
WKY	Kidney	10	W.10.F.3.Kd.1	-0.183237523	-1.317404386	0.312853001	0.612657665	-0.23557578	-0.32781629	-0.235076813	0.412963965	1.763746409	-0.040771134	-0.22880201	0.362952317	0.502328539	-1.62589027	0.095536413	-0.48278364	-0.193110213	-0.03332401	-0.276830449	-0.255657542	0.405167531	-0.459973061	-1.640193118	1.081524431	-1.108337621	-1.224687328	-0.294875421	-2.431134124	-2.368360123	-0.333966083	-1.196728165	0.228441597	0.280899214	0.530618748	-1.170879171	-0.801423318	0.515712583	0.061208065	-0.035639903	NA	-0.136509956	-0.11983442	-0.702606617	-0.245889719	-0.197471089	-0.147887943	-0.102368633	-0.791531506	-1.40639534	-2.603425156	0.455349271	-0.806147495	-1.030431545	-1.50405431	0.756747555	-0.555115636	-1.312562894	-0.801540276	-1.121565962	0.856089428	0.291899195	0.643257889	-0.304480152	0.780177322	-0.333414025	0.71454492	-0.02793675	-0.968839058	0.403890418	-0.302882394	-0.102666699	-0.417927442	-0.06432732	-0.040659242	0.010115807	-0.004013569	-3.794928719	-0.613367771	1.371446094	0.189008753	0.024590929	-0.099561811	0.015588403	-0.566971435	0.711805413	-0.176215857	-1.126254391	-0.140923797	0.008469264	-0.028064483	2.693538656	-0.067095938
SHR	Kidney	12	S.12.F.1.Kd.1	-0.220530193	-0.209375776	0.039878286	0.369194135	0.136818079	0.208654674	0.192357934	-0.110411145	-1.465550042	0.040771134	0.114170211	0.957958397	-0.206411232	1.13706631	-0.224850803	0.33972815	-0.000551496	0.34794758	0.265349823	0.216353118	-0.245511756	-0.531357821	-0.195994668	-0.64656498	-0.056352391	0.314991013	-0.171820141	0.026822736	0.300169197	0.074003322	-0.032554925	0.248607706	-1.725115836	-0.501976131	0.09064458	1.05273206	-0.268287647	0.11061594	-0.087796977	0.013285691	0.000497534	0.282696765	0.202780464	0.019269174	-0.307855074	0.327884113	0.892396811	0.170617364	0.592338708	-0.126201826	0.379293571	NA	0.974191232	0.29259446	-0.130703335	-0.075068776	-0.147554694	-0.038676886	-0.920820192	2.823963341	-0.106844277	-0.291305202	0.571056076	-0.471906903	0.371237776	0.01175876	0.00564138	0.168717472	-0.180613262	0.167192049	-0.309493761	-0.311396302	0.045198695	-0.122782209	-0.010115807	-0.293616398	-0.059849839	-0.185261121	-0.714070776	-0.005951401	-0.123774986	-0.660233671	0.596967323	-1.609167425	0.404581803	-0.077220117	-0.065615961	-0.015555802	0.402636692	-0.006807229	-0.638070119	0.097224573
SHR	Kidney	12	S.12.F.2.Kd.2	0.201354454	0.041467421	0.48465296	0.222096482	0.13308194	0.215376138	0.338450129	-0.087897882	-1.814242225	0.686562406	0.212039621	0.459681134	-0.439153095	1.735610457	-0.049069553	0.02188262	0.13267204	0.133517868	0.254614934	0.123104136	0.170803974	0.483798336	-0.218915121	1.303217448	-0.109805954	0.378930539	0.113376404	-0.160427667	0.287694284	0.255205318	-0.474307138	-0.278789306	-1.556781359	0.476916893	-0.215386193	0.868567452	0.4225556	-0.203164814	0.430916979	-0.013285692	-0.112682941	0.411682966	0.344436805	0.077269751	0.073239283	0.264322154	0.642683696	-0.233835099	0.101606537	-0.292825929	0.274612789	0.913958613	-0.274168096	-0.291744173	-0.170318618	0.017357421	0.124425764	-0.261246149	-0.155482575	-0.512950635	0.249393223	-0.161254315	0.353443422	-0.029763192	0.230862193	1.081482557	0.368231904	-0.583077941	0.159004583	0.037072928	0.213502289	0.459871455	-0.109341526	0.408232184	0.382495833	-0.036143587	-0.147554702	-0.112890994	0.620254911	0.375168239	0.280775615	-0.069219763	0.42614585	-1.020583188	0.53264006	0.25445347	-0.051773254	0.212225917	0.396828429	-0.043125221	0.241973493	0.206378222
SHR	Kidney	12	S.12.F.4.Kd.1	0.464044148	-0.710237924	0.6832407	0.311374856	0.392825788	0.221582071	0.255810898	0.186035258	-2.1553663	1.203345028	0.503678642	-0.031667122	-0.18145777	0.499850162	-0.03174698	-0.175032724	0.273339413	0.176428927	0.098944268	0.45494528	1.147427838	0.08652577	-1.142760117	-1.280594428	-0.95592071	-0.554280666	0.113978001	-1.392843823	-1.188034952	0.321561809	-0.588572124	-0.599135665	-0.105689454	0.635087418	-0.473740709	0.363265551	0.326407115	-0.301578524	0.435642264	1.061332423	NA	0.614628828	0.165971998	0.331708333	0.227523106	0.303924325	0.793495382	-0.387232554	-0.030646373	-1.412115854	0.295401603	-0.640109493	-0.402539608	0.362717901	-0.344281124	-0.201717155	-0.458274022	-0.193200614	0.414981159	-0.174345611	0.707184567	0.36660687	0.441871602	-0.994116671	-0.355403973	-0.670665789	0.320206194	-0.585640387	0.612371144	-0.216074004	0.720031829	-0.053842291	0.031667818	-0.610158886	-0.162773596	0.617640439	-2.102629098	-0.356638308	4.950608126	0.255344931	0.122882957	0.684868759	0.748517474	-0.538546453	0.753783094	0.817816483	-0.83648118	0.323344058	0.412428931	0.006807229	1.190031883	0.752574671
WKY	Kidney	12	W.12.1.Kd.1	0.040969092	-0.417717741	0.027240202	0	0.152134672	0.212308219	0.226181905	0.219955874	2.460227854	0.121988242	0.424403886	0.569271482	-0.200264537	0.943161115	0.086548635	0.297052989	0.187248712	0.239497056	-0.06157311	-0.282320026	-1.519522231	0.326827524	-0.199947033	0.990408436	-0.173060136	0.009284878	-0.074524186	-0.556382929	-0.636898948	0.187465536	-0.22037196	0.587599242	-0.784600031	1.261162798	-0.049276535	0.554428988	0.459231868	0.512220296	-0.127727341	NA	0.075454523	0.520710872	-0.267245077	0.315430246	0.340989384	0.687390371	-0.031221347	0.06383188	0.4793666	-0.04626435	-0.016026943	NA	0.354562058	-1.534296785	1.246618276	0.207153879	-0.045025258	-0.22659469	-0.539273297	0.370632083	0.60238055	0.415976114	0.264967743	1.48779844	-0.120531729	1.113806735	0.472566401	0.609151467	-0.071657617	0.440309935	-0.01558193	-0.684876977	0.424443401	0.197661881	0.274721278	-0.215369218	-0.288059194	0.119513964	1.682070709	0.626932326	0.124227436	-0.761126575	-0.028004932	-0.04147314	0.501073508	0.265921628	0.051773254	0.206210654	0.235013265	0.148094663	-1.004429425	0.305464538
WKY	Kidney	12	W.12.2.Kd.1	-0.585755319	0.774916279	-1.081557489	-0.778846271	-0.529965976	-0.485807128	-0.570048389	-0.305918321	1.718729217	-0.70091077	-0.484316804	-0.462297169	-0.549596457	-0.139801006	-0.725638568	-0.45661579	-0.476350298	-0.416351548	-0.485295202	-0.776670177	-0.783533596	-0.694825277	0.811627207	0.324250425	0.601183113	0.674202546	-0.106905972	0.960933431	1.136628081	-0.664722964	0.67079889	-0.014644882	-1.907291252	0.06681784	0.534133027	-0.267990873	-0.054114563	-0.420820287	-0.75961421	NA	-0.511654947	-0.497020033	-0.802759068	-0.635205193	0.02255468	-0.36135439	-1.120392428	0.487658239	-0.461294522	1.217956999	-1.078211594	NA	-0.400612827	-4.272195036	0.606955131	0.058156639	0.927591398	0.704547983	0.497115882	-1.456012068	-0.222328476	-0.069301467	-0.558943217	0.866641641	-0.00231716	-0.223387666	-0.822561447	0.005869406	-0.338854521	-0.18610267	-0.61577416	0.934167562	-0.543342989	-0.684972914	-0.299065844	-0.253299232	1.271016868	0.008869091	-0.290281451	-0.513224187	-0.248139529	0.398091594	-0.239548693	0.01252011	-0.365067953	-0.638134203	0.728004843	-1.333419053	-0.523795249	-0.462740607	-0.254745644	-0.529100591
WKY	Kidney	12	W.12.F.3.Kd.1	-0.070829914	0.403682464	-0.109104109	-0.320566676	-0.166403451	-0.318663158	-0.15203263	-0.391158473	1.923548485	0.328571898	-0.123391938	0.361564206	-1.064954412	-0.6349346	-0.578471978	-0.358921468	-0.516613497	-0.277471047	-0.172182971	-0.026485922	-1.059064857	-0.193203752	0.459751671	0	0.515037849	0.357313139	-0.16102233	0.604080805	0.173290016	-0.368722687	0.517561794	-0.449485297	0.178320124	1.043131735	0.518599527	-0.124117308	-0.017101148	-0.27769497	0.013358671	NA	-0.357749784	-0.181728486	-1.254502999	-0.111808007	-0.094086821	-0.382807428	-0.755188813	0.400151164	-0.909086814	0.830675394	-1.162627999	NA	-0.017148254	-0.72933581	0.766754994	-0.160464267	0.695144556	0.418544304	0.158894007	-1.731622503	0.345055053	0.457171528	-0.472456838	1.31111421	-0.202097995	0.4549089	-0.092262513	-1.144869069	-0.238922052	-0.420778611	-0.225092641	0.231438057	-0.533654354	-0.571650124	-0.398957657	-0.241946699	0.66353048	-0.409430622	0.207039394	0.17441033	-0.059799899	0.282530169	-0.178253528	0.074209095	-0.268101688	-0.142511598	0.577650968	-0.150897484	0.042844297	-0.405076474	-0.637151702	-0.049056084
SHR	Kidney	16	S.16.F.1.Kd.1	0.338708737	0.335585694	0.731131931	-1.169635895	0.499371256	0.135414732	0.044506755	0.647942804	-4.469195012	0.384161554	-0.048261762	1.010369087	-0.030436572	-1.2029534	0.260210477	-0.370851187	0.461080986	0.177924214	0.383828875	0.740425418	2.194788833	0.572156699	1.653215702	4.885814191	0.663053679	-0.233143298	1.310605846	0.386397546	-0.023306673	0.2320757	0.756865775	-0.484794499	1.241439494	-1.5540296	0.61234372	-0.084044918	-0.108552437	-0.316105154	0.705226945	0.944283361	0.470413429	0.404109537	-0.057238722	-0.092452689	-0.060835773	-0.287458465	-0.131239306	0.397750025	-2.357730297	0.694889884	-0.501456549	0.828498265	0.266594028	0.37345743	-0.219383325	0.120035894	0.229921346	0.459538114	0.507045118	0.757503138	-0.196238717	-1.092741262	-0.161903039	-0.301689603	0.234713616	-1.02261768	-0.683403677	-2.034624818	0.961702462	-0.523717378	1.074817991	0.734306378	-0.197828948	0.423094917	-0.037380246	0.619285934	0.324469721	0.105473959	-1.021275616	-0.136603674	0.116100196	1.588243807	1.473210873	-1.382655405	-0.048887377	0.600048954	0.671086959	-0.298896118	0.322971769	0.10575419	4.193478145	-0.159893458
SHR	Kidney	16	S.16.F.2.Kd.1	0.267394277	0.625784271	0.196971803	-0.857530145	0.335050454	0.259522284	0.261125631	0.423740894	-1.825207362	-0.412515681	0.249248004	0.062929877	0.824598779	-0.32663221	0.155033673	0.326073576	0.000551496	0.297545604	0.51723495	-0.355241912	0.720492488	0.704578769	0.866253692	0.555794721	0.586680079	0.667328283	0.438255211	0.948929656	0.734498117	0.360825097	0.783742555	-0.114374952	0.749889204	-1.84882409	0.69454206	0.214767363	0.550829313	0.289302797	0.444759072	-0.811184739	0.380454337	0.409182712	0.999528776	0.129841952	0.27585323	0.261118455	1.205049366	0.428024784	0.915875075	0.991777184	-1.700241109	-0.189050535	0.02035285	-0.33303191	-0.253900265	0.774679624	0.696602207	0.681188505	0.614500378	-0.688396612	-0.609969487	-1.383425202	0.780235634	-0.516355113	0.654426406	-1.02130053	0.034317793	0.431893382	0.088764238	0.309609936	0.416639514	1.009282728	0.16302989	0.664020947	-0.101537292	0.554596801	0.593302401	0.645858894	0.066264324	-1.199523389	-0.085784101	0.90540723	1.071945093	-2.017617695	0.152313313	-0.014915467	0.790857479	-0.044511861	-0.116835159	0.540151716	3.384543577	-0.048502791
SHR	Kidney	16	S.16.F.4.Kd.1	0.045417036	-0.062672417	0.417895797	0.410793554	0.076140628	-0.224420659	-0.130984283	0.032612169	-3.233316293	0.521841086	-0.114407777	-0.059991374	-0.347308243	-0.914678011	-0.233960252	-0.439289534	-0.100911207	-0.031149299	-0.307223035	-0.058230333	0.872425481	0.365524498	1.959513408	5.2442269	0.728874198	-0.447839539	0.107442497	-0.366976315	-0.528823004	-0.001608296	0.202183954	-0.701833407	0.082793863	-0.891757132	0.188094529	0.334918752	-0.062113008	-0.695780231	0.377458153	-0.21907293	-0.278113752	0.061152552	-0.553745902	-0.164900194	-0.313859564	-0.386637527	-0.109019923	-0.297620967	-1.335335162	-0.149904977	-0.62878214	0.189050535	0.087187317	0.578648509	-1.406183596	-0.400681277	0.066228545	0.025897124	0.530339167	-0.675532613	-0.141277291	-0.722202383	-0.323801069	-0.665662313	-0.228111175	-1.382996901	-0.00564138	-1.564616209	0.403916459	-0.684471103	0.31175327	0.255904567	-0.4565231	-0.294667971	-0.464970674	0.004013569	-0.69800292	-0.881215092	-2.704230817	0.189888959	-0.130753356	0.307555178	-0.006089288	-2.037168116	-0.011898158	0.094324622	-0.331805232	0.200350564	-0.032749366	-0.574323863	0.800698634	-0.348767891
WKY	Kidney	16	W.16.F.1.Kd.1	0.06465874	-0.466588993	0.645271093	0.755073768	0.040590267	-0.145180038	-0.237081864	0.640806436	1.465550042	0.267174148	0.015563074	1.04554406	0.013169212	-0.357150767	0.008469142	-0.358503556	0.348391103	-0.129954093	0.13655111	0.015191881	1.251640272	0.250445232	-0.305905895	0.492042563	-0.241367038	-0.376696004	0.264596642	-0.626130541	-0.52424713	0.006955207	-0.195299012	0.509768307	1.515042577	1.273917436	-0.558324877	-0.106066744	0.548876636	-0.159859181	0.420778836	-0.577147806	-0.16430597	0.221491067	-1.124738518	-0.122328008	-0.092743153	-0.126907278	-0.25693693	-0.069212213	-3.421585298	-0.570381103	1.110150875	-1.042182192	0.480373301	0.635104643	0.556626966	-0.529245723	-0.268928451	-0.411303363	0.056210761	0.451074591	0.026654076	0.041965121	-0.899160152	1.120700069	-0.789200141	1.310295149	-0.352338325	-3.073201405	0.081514501	-0.87862102	0.066647585	0.743113731	-0.413644874	-0.264406563	0.100485976	0.732077149	-0.441956096	-0.629750458	NA	0.032999876	-0.065545281	0.567973603	0.478899036	1.154460938	0.548828006	-0.050786104	-0.307961568	-0.259454708	-0.004841487	-0.346722032	2.521708412	-0.242971359
WKY	Kidney	16	W.16.F.2.Kd.1	-0.533183523	-0.039239366	-0.762584003	0.063237665	0.023157727	0.276603908	0.416133075	0.071530433	2.725545579	-0.225638443	0.432369136	0.651593197	-0.058444792	0.66473373	0.098848416	0.522947905	0.04223346	0.206115531	0.316962958	0.204619719	-0.477601685	-0.516388441	-0.214886358	-1.39429318	-0.127351681	-0.205647458	-0.160575271	-0.038985994	-0.230176093	0.151454044	-0.698595625	0.808907688	0.714150814	0.669231136	0.00578593	-0.148032767	0.626508633	0.337641159	0.081202667	NA	0.098347255	0.355905254	-0.122018367	0.430368243	0.330033766	0.395125632	0.031221347	-0.383295136	0.676703225	-0.125093126	0.114623941	NA	-0.447220445	-0.51069374	0.605312045	0.056556504	-0.127630764	-0.234847016	-0.479282312	-0.091916862	-0.050180367	-0.412975152	0.221428218	0.611622458	-0.079734065	0.61096185	0.136105672	0.327236242	-0.395278123	0.254355578	-0.341600198	-0.158961242	0.203456957	0.137832516	0.081876789	-0.325851985	-0.412765469	0.309632349	NA	-0.541061887	0.37132454	-0.558401371	0.149728593	1.017630275	-0.023391297	-0.540842937	-0.223864531	-0.38088531	-0.00488141	0.17884834	-0.74847244	-0.126740193
WKY	Kidney	16	W.16.F.3.Kd.1	0.026304149	-0.247470944	-0.190035933	0.238125557	0.019016159	0.160803581	0.271135416	0.199021642	2.202373315	0.124574276	0.205313325	0.827034109	-0.17495776	0.284990392	0.027935708	-0.078362965	0.075094353	0.131126563	0.051944826	0.200673991	0.013980779	0.020179951	-0.168356146	-0.007306868	0.020550611	-0.024619086	-0.248160478	-0.673854892	-0.313713071	-0.034610354	-0.444268163	0.070731526	-0.008159994	1.152829385	-0.611078188	0.637818823	-0.273553775	0.069338949	-0.062658733	0.103736193	-0.059451067	0.114995815	-0.473574314	0.267926851	0.454030643	0.003047178	-0.253825926	-0.160318034	0.030646373	-0.713442354	0.507641623	-0.253922453	1.231876659	-0.163350028	0.939056441	-0.326175674	-0.497037472	-0.699542174	-0.4894173	-0.66107441	0.113740372	-0.20189549	-0.380681675	1.100052442	-0.417106903	1.323093306	-0.133603073	-0.005869406	0.017658323	-0.127001662	-0.034078109	-0.6223235	-0.472360788	-0.033027801	-0.081387583	0.077289268	-1.001732667	-0.495469669	-0.066264324	-0.373987736	0.020197239	-0.155414049	0.577099815	1.197794267	0.077249835	-0.342525465	-0.362234329	0.098108402	-0.070602975	-0.203277091	0.532199947	0.057716117
SHR	Kidney	24	S.24.F.1.Kd.1	0.101463192	-0.200476552	0.064469636	-1.229252451	0.124821018	0.230351661	0.637738286	-0.018946846	-2.421483257	-0.182919697	0.008916488	-0.079773099	0.023097863	0.924461404	0.058042806	0.086461135	0.081700573	0.323776889	0.19371558	-0.246106827	1.34671388	-0.134532217	-0.156348744	-1.754451615	-0.171524777	-0.289075563	0.406174196	0.07881063	0.014243141	0.458748353	-0.497004631	-0.205672012	0.028036859	-1.231106914	-0.207717976	0.297577977	0.017101148	-0.174450957	0.840394098	-0.900493354	0.351906974	0.093766034	0.464530143	-0.019269174	0.024138796	0.325411324	0.814358545	-0.191742041	1.051285558	-0.352864151	-2.290806864	-1.74368253	0.140838241	0.457241705	-1.538348311	0.066826358	-0.550357439	-0.370890381	0.041737152	-0.304517488	-0.622500861	-1.762856667	0.912758313	-1.847855388	0.00231716	-2.072803666	0.087652998	0.232897006	0.028792862	0.188026884	0.64418326	0.003372592	-0.265724335	-0.248663401	-0.235577248	0.575733675	-0.028775975	0.454289799	NA	-1.530800607	0.004292634	0.315616354	0.171011978	-0.8406725	-0.023029893	0.014915467	-0.245029527	-0.688358519	-0.104350823	0.207575018	2.611260315	-0.117096523
SHR	Kidney	24	S.24.F.2.Kd.1	0.216576512	0.444354909	0.623321822	-0.81399053	0.057662258	0.116953427	-0.26306963	0.33346318	-3.685465337	-0.049664769	-0.206232498	-0.246997798	0.561190574	NA	0.239616697	0.217137729	0.022934713	-0.006060764	0.175693871	0.336922864	1.318614155	-0.895710506	1.007355837	3.068654726	0.414918734	-0.211428923	0.427405824	0.628765091	0.543917342	-0.082238915	1.11774588	-0.292794745	1.475395409	-1.899049115	0.478750885	-0.404805432	-0.567535572	0.066206187	0.3661102	NA	0.488458939	-0.411517986	0.634178503	-0.217692177	-0.291751601	0.012664988	0.433220813	0.29735566	-0.10934	0.34074161	-2.650780534	0.770159541	-0.54682817	0.045912545	-0.56498318	-0.097617771	0.429244382	0.26692117	0.204493893	-0.222355307	-0.835404698	-0.712047077	0.183095801	-0.946968677	0.320667601	-0.574666605	-0.425699461	-0.725293233	0.058188063	-0.307019597	0.352649029	0.530412283	0.582602636	0.60787332	-0.099779922	0.22556754	0.430007986	-0.196163436	2.239156679	-0.423658625	-0.233976402	1.205452665	1.188273098	-5.52948473	0.011898158	0.172264118	0.284412474	-0.015913902	-0.159579352	0.196884399	3.850118467	-0.481248977
SHR	Kidney	24	S.24.F.4.Kd.1	-0.155481193	0.323755544	0.891078027	-0.280173485	-0.029488067	-0.036740666	-0.040523362	0.090660818	-2.525784002	0.456902616	0.373590065	-0.065580753	0.173963758	-0.21583421	0.25713304	-0.019655996	0.26148319	0.246167798	0.468300685	0.157487089	-0.486538155	0.119780039	0.331766572	NA	0.213971799	0.112871292	0.037982739	0.548564396	0.348459907	0.129097034	0.032554925	0.433544953	-0.315980346	-0.88827178	0.50874403	0.164944273	-0.384590427	0.346836902	-0.330128874	NA	0.166176874	0.031759044	0.293111285	0.107402987	0.333130716	0.024415835	0.645878485	0.334587235	-0.508132861	0.314055944	-0.223665389	-0.498061075	0.185735925	0.25440368	0.396970635	0.499436364	0.128921426	0.237749725	-0.041737152	0.719868718	0.103471368	-0.041965121	0.243144263	-0.029763192	0.306164956	0.04206979	0.247636074	-1.138515648	-0.180909602	-0.021696689	0.01558193	0.049511718	0.106189914	0.094520392	0.02067185	-0.048228077	0.245169771	0.045423499	-0.271171956	0.005951401	-0.087913565	-0.271945761	-1.138807637	NA	-0.265221787	0.288168173	0.120480559	0.130922312	0.171527042	0.228323341	-0.58020313	0.143400199
WKY	Kidney	24	W.24.F.1.Kd.1	-0.037884183	0.053128954	-0.610582743	-0.153161715	-0.021006172	0.246684906	-0.153386485	0.014416594	1.880861409	-0.129653821	0.235479349	-0.118656563	1.127912489	1.65134827	0.57244935	0.309091394	0.253279802	0.138016371	0.259264678	-0.015191881	-1.113938876	0.047116769	0.292866712	-0.29795036	0.445383289	0.732078782	0.448358789	0.586813976	0.831219237	0.216937356	0.150274345	0.365241871	-0.318549686	-0.115128459	0.60730549	-0.224179437	-0.158929597	0.559045943	0.019451721	NA	0.555590555	-0.101352494	0.208227509	0.193628464	0.448045415	0.097256051	-0.054592963	-0.179399476	0.28303504	-0.105497166	-0.644197039	NA	-0.076504474	0.85077831	0.293727985	0.410997844	-0.206560034	0.051820675	-0.772595842	0.403734828	0.233098775	-0.178097922	-0.245793155	0.799942304	-0.190345725	0.83967551	-0.301437918	0.167156772	-0.075916932	0.053504704	-0.06062836	-0.648145362	0.483196172	0.485064813	0.401674032	-0.320706185	0.173527621	0.321258039	-0.102556666	-0.020109896	0.067417161	-0.207863021	-1.886012667	1.074330875	-0.482340947	-0.363522767	0.128492669	0.231222079	0.075617136	0.317360078	-0.43135249	0.121420576
WKY	Kidney	24	W.24.F.2.Kd.1	-0.152896854	0.89242756	-0.119717258	-0.613187126	0.038156581	-0.294294948	-0.122892987	0.281040288	1.639439968	-0.791346358	-0.254396816	0.476301856	-0.421027163	-1.113548361	-0.304833742	-0.38534257	-0.169615466	-0.28952611	-0.108785713	0.045148378	1.157664846	-0.531855732	1.096980571	NA	0.944868788	0.564644347	0.324125475	1.352332492	1.356347206	-0.340989731	0.860843354	-0.271409354	1.850330163	-0.06681784	0.773069571	-0.651111878	0.070652362	-0.520052132	-0.013358671	0.11952631	-0.260248704	-0.169276064	-0.768153288	-0.533953301	-0.052321409	-0.259944283	-1.020505304	0.913780993	-0.181118585	1.477298334	-0.56070829	-1.290541246	-1.125177477	-0.476516301	-0.352937056	-0.071159997	1.015992896	0.775592134	0.588981267	0.548224527	-0.444178696	-0.637920873	-0.801657335	0.576529571	-0.054183566	1.285597889	-1.122418185	-0.376599899	-0.134768314	-0.456334212	0.337679762	1.360299687	-0.509239822	-0.583907466	-0.58465507	0.812184547	1.348784571	0.093442289	-0.995867027	-1.581332953	-0.171527419	0.980877543	0.444945682	0.022091704	-0.514159948	-0.603379648	0.908795958	-0.919461599	-0.518964736	-0.203053942	2.68472367	-0.480097706
WKY	Kidney	24	W.24.F.3.Kd.1	-0.392106283	0.157928384	-0.027240202	-0.856509335	-0.38512635	-0.459971161	-0.333697977	-0.354552077	1.546611059	-0.52596379	-0.280699864	-0.194576103	-0.013169212	0.81571574	-0.188515592	-0.111024852	-0.448772926	0.029447654	-0.549186032	-1.025292262	-1.059511916	-0.270809861	0.503200242	-2.94614746	0.359223679	-0.462955067	0.103026485	0.485903986	0.434675077	-0.607555441	0.237648675	-0.06734667	0.008159994	2.666618247	0.28741147	-0.754240897	-0.574901667	-0.083498076	-0.400298493	2.472498212	-0.268752769	-0.562569293	-0.534216999	-0.398616141	-0.244852548	-0.503385104	-0.677944473	0.014014645	-0.787413008	0.695942815	0.342924522	NA	1.553284853	0.02624717	0.130703335	-0.332227736	0.186277487	0.396549615	-0.486635882	NA	-0.381115741	-0.974316032	-0.888750276	0.879768065	0.013431946	2.677172781	-1.001797488	-0.219373928	-0.667588352	-0.511602814	-0.748790202	-1.032878562	-0.051440048	-0.236712365	0.158694185	-0.187991383	0.280286031	-0.229859301	-0.995930536	-0.513504378	-0.491166146	0.02981221	-1.141480257	1.152086305	-1.028113617	-0.635466657	0.162779079	0.014251499	-0.58564024	-0.530641616	0.054759415	-0.711088681
SHR	Adrenal Gland	8	S.8.F.1.AG.1	0.911354629	0.092246875	2.046837518	NA	0.397706914	0.859066329	0.959724124	0.420392432	-3.029899166	0.304496022	0.511914277	0.070150053	-0.003353058	-0.786848036	1.073855744	-0.213598437	0.649558951	0.70166695	0.856543104	0.567264384	1.650818086	1.085516853	0.066073633	-0.560009657	0.832406405	0.010867695	0.883378978	-2.16073267	-0.548795599	0.474976461	-0.753534662	1.169728134	0.122398133	0.524116411	0.394246338	-1.079415214	-2.45957786	0.770290228	0.580960671	-0.05297183	0.803870582	0.457138384	0.423450897	0.509998417	1.105190006	-0.352180941	0.990544956	-4.220266565	1.089408305	-1.50659681	-0.47475848	0.257391705	0.146201566	1.035083463	0.915249619	-0.175237263	-1.046880787	-0.775649879	-1.707460894	-0.679451158	1.728842953	1.975107003	1.017175127	0.05093067	-1.52610816	0.384548456	0.913018012	0.641332529	0.35139018	0.519133334	0.998004019	-2.12495725	0.613860558	0.740902881	0.878454976	1.117119993	-3.10437877	-0.896751577	1.036252303	0.49943789	0.897668709	-0.001307475	0.6081617	-2.181672625	-0.615658585	1.392081598	-1.042059019	1.36488412	0.864589512	0.627559518	0.353635548	1.10046627
